	KIAA1257	ERMN	KLHL21	CASS4	HAL	TTC18	KCNK7	CCDC19	ARAP3	TIGD3
1.3636363636363638	0.014073806975237602	0.006274329022722091	0.0005347410425451041	0.0005765175664051286	0.0005452708296985765	0.0006016771954226359	0.0005348797474015414	0.0005125242093466442	0.000504156769781092	0.000522719183393838
1.393939393939394	0.014174700111946303	0.0059963384193197425	0.0005103213580912236	0.0005534500946290727	0.0005232485901869888	0.0005779384286913024	0.0005160558596374271	0.000492652417972221	0.00048340321601194307	0.0005042403196146834
1.4242424242424243	0.014268904007568787	0.0057269098502431125	0.00048756059998709137	0.0005317022531798646	0.0005025899704392521	0.0005554715012431636	0.0004981566988982633	0.0004740171192241658	0.00046395963382088413	0.0004867406700120788
1.4545454545454546	0.014356572716113373	0.005465810372550802	0.00046632337490013566	0.0005111874907453806	0.00048318551004523046	0.000534202575605668	0.0004811160475724857	0.00045650422735163133	0.0004457188523954428	0.0004701396199614493
1.4848484848484849	0.014437869796937786	0.005212812457829395	0.00044648393467571233	0.0004918234976486063	0.00046493373658380323	0.0005140599281125301	0.0004648738091638658	0.0004400112858129282	0.0004285816543778473	0.00045436484619153
1.5151515151515151	0.014512964697848466	0.004967694005962759	0.000427925981559301	0.00047353240310959137	0.00044774100784790194	0.0004949744604924386	0.00044937537288478166	0.00042444643730891405	0.00041245662470915063	0.0004393514433050073
1.5454545454545454	0.014582030120745338	0.0047302383432000225	0.0004105423599514917	0.00045624086590677256	0.00043152124538650677	0.0004768800607309257	0.0004345710427600188	0.0004097274402002256	0.0003972598847097316	0.00042504112930228836
1.5757575757575757	0.014645240094825604	0.0045002342082582445	0.0003942346645861997	0.0004398800800169295	0.00041619558974869927	0.0004597138407613125	0.00042041552671522937	0.0003957807397967676	0.00038291474346668913	0.0004113815271083044
1.6060606060606062	0.01470276856292518	0.00427747572985909	0.00037891278995308826	0.00042438571337981816	0.00040169200250006855	0.0004434162743772983	0.00040686748068167897	0.00038254059998788214	0.00036935129312164726	0.00039832551791642404
1.6363636363636365	0.014754788342631685	0.004061762398887413	0.0003644944414891618	0.00040969779502469277	0.00038794483545034946	0.0004279312551723548	0.0003938891026299036	0.00036994829818679816	0.0003565059697963701	0.0003858306614605313
1.6666666666666667	0.014801470363034497	0.00385289903827539	0.00035090462537944547	0.00039576056331607997	0.000374894383507492	0.0004132060912161368	0.0003814457715458172	0.0003579513845442797	0.00034432109761922154	0.0003738586779798898
1.696969696969697	0.014842983105600574	0.0036506957737654595	0.00033807513062154767	0.0003825222859536002	0.0003624864340991169	0.00039919145051009144	0.0003695057266044093	0.00034650300479576216	0.0003327444295923109	0.000362374986552318
1.7272727272727273	0.014879492197234858	0.0034549680089098903	0.00032594401424662834	0.0003699350605369902	0.00035067182312947446	0.00038584126896278867	0.00035803978212278515	0.00033556128489190093	0.00032172869583574327	0.0003513482945640441
1.7575757575757576	0.014911160117536614	0.0032655364080556807	0.00031445509819732554	0.0003579546029382329	0.000339406004924391	0.0003731126306427686	0.0003470210742429141	0.00032508877467397895	0.00031123116702937934	0.0003407502332980104
1.7878787878787878	0.01493814599227399	0.003082226891691115	0.00030355748430485336	0.00034654002937342096	0.0003286486415161776	0.0003609656283620187	0.0003364248356786504	0.00031505194724257756	0.00030121323860463024	0.00033055503491476304
1.8181818181818183	0.014960605452328645	0.0029048706494735326	0.0002932050920507681	0.0003356536369082137	0.0003183632148910478	0.0003493632111797993	0.00032622819523963524	0.00030542075028208444	0.00029164003937893123	0.0003207392464353583
1.8484848484848486	0.014978690542616503	0.0027333041776297527	0.00028335622231924484	0.0003252606861394811	0.0003085166644237459	0.00033827102416633453	0.00031640999920637717	0.0002961682054023214	0.00028248006682847	0.0003112814766930129
1.878787878787879	0.014992549669335609	0.002567369349395785	0.00027397314911778995	0.0003153291889527297	0.00029907905061244197	0.000327657244701144	0.00030695065196688603	0.00028727005150028955	0.00027370485001457104	0.0003021621725789235
1.9090909090909092	0.01500232757672135	0.0024069135300004716	0.0002650217402433478	0.000305829703541823	0.0002900232453649897	0.00031749241867916317	0.000297831973632877	0.00027870442819788975	0.0002652886402724686	0.00029336342125979836
1.9393939393939394	0.015008165346588657	0.0022517897517957213	0.0002564711070714374	0.00029673513828016673	0.0002813246484348316	0.00030774929923894754	0.000289037072631586	0.0002704515955441321	0.00025720812909399264	0.0002848687753787318
1.9696969696969697	0.015010200415504472	0.0021018569711070403	0.00024829328302486734	0.000288020565536288	0.00027296092912694215	0.0002984026899927147	0.0002805502315163539	0.0002624936863597046	0.00024944219214883054	0.0002766630985653123
2.0	0.015008566605609957	0.0019569804371836223	0.0002404629298092733	0.0002796630461194163	0.00026491179206088866	0.00028942929421167456	0.0002723568044593401	0.00025481448782797654	0.00024197165805732427	0.00026873242887079103
2.0303030303030303	0.015003394165998779	0.0018170322168013465	0.00023295707016429	0.00027164146471075505	0.00025715876555929565	0.0002808075709875989	0.00026444312508246956	0.000247399249183632	0.0002347791003194372	0.0002610638580098877
2.0606060606060606	0.01499480982223392	0.0016818919381117335	0.00022575484564767143	0.0002639363763726371	0.00024968501110286947	0.0002725175990391397	0.00025679642345155274	0.0002402345126061795	0.0002278486506918842	0.00025364542453145533
2.090909090909091	0.014982936832101725	0.001551447848378123	0.00021883729782743697	0.00025652986402155745	0.0002424751522376784	0.0002645409485484799	0.00024940475120641364	0.00023330796468209154	0.00022116583226742672	0.0002464660192577248
2.121212121212121	0.014967895046100499	0.0014255983293363665	0.00021218717118453082	0.0002494054065934358	0.00023551512131682445	0.0002568605611888349	0.00024225691392737117	0.00022660830604845678	0.00021471741052557522	0.00023951530152618348
2.1515151515151514	0.014949800971468738	0.0013042540932993573	0.00020578873601188665	0.00024254775751207392	0.00022879202249610154	0.00024946063832806615	0.00023534240995042182	0.00022012513706991534	0.00020849126067974504	0.00023278362494226718
