aupr,auroc,f1,f1_opt,mcc,shd,precision,recall,tp,fp,tn,fn,topology,config,method,rep,seed_offset,n,p,wall_seconds,dof_correction,null_graph,benchmark,network,delta_mode,diffusion_spearman_mean,diffusion_spearman_min,diffusion_mae_mean,knockout_spearman,knockout_top10_recall,knockout_topk_recall,n_components_pred,diffusion_spearman_mean_null,knockout_spearman_null,diffusion_spearman_norm,knockout_spearman_norm,preprocessing,dataset_id
0.5741286582969052,0.9795735304633868,0.5490716180371353,0.676,0.5691057236755939,340.0,0.4156626506024096,0.80859375,207.0,291.0,12819.0,49.0,hub,n513p164,piglasso_oracle_n07,47.0,0.0,513.0,164.0,1142.5995280939387,,,synthetic,,,,,,,,,,,,,,,
0.0199706743877134,0.5038550116659504,0.0164383561643835,0.0378324978961618,0.0314753637863152,1077.0,0.1475409836065573,0.0087040618955512,9.0,52.0,52542.0,1025.0,hub,n1026p328,gglasso,42.0,,1026.0,328.0,3.5555089390836656,,,synthetic,,,,,,,,,,,,,,,
0.7676974496695881,0.9567408496801798,0.7569025298574548,0.7569025298574548,0.7398129724191943,1893.0,0.8100604727872457,0.710291636538925,2947.0,691.0,48788.0,1202.0,cluster,n1026p328,piglasso_oracle_n02,1.0,0.0,1026.0,328.0,357.3484328549821,False,False,synthetic,,,,,,,,,,,,,,,
0.774473071478981,0.9902761098380586,0.6746594005449592,0.8459837877671332,0.6905058465058346,597.0,0.5171261487050961,0.9702194357366772,619.0,578.0,12150.0,19.0,random,n513p164,piglasso_oracle_n06,44.0,0.0,513.0,164.0,1334.4958391990513,,,synthetic,,,,,,,,,,,,,,,
0.8754143646019914,0.994250402005504,0.8002450980392157,0.8969607116382505,0.8013014200568849,326.0,0.6823406478578893,0.9674074074074074,653.0,304.0,12387.0,22.0,random,n513p164,piglasso_oracle_n03,1.0,0.0,513.0,164.0,1363.293672105996,,,synthetic,,,,,,,,,,,,,,,
0.7913413760637071,0.9852317270491908,0.6948775055679287,0.8328267477203648,0.7000448961074135,137.0,0.5512367491166078,0.9397590361445785,156.0,127.0,2710.0,10.0,random,n237p78,ssglasso,40.0,0.0,237.0,78.0,13.867021370999282,False,False,synthetic,,,,,,,,,,,,,,,
0.6070523969038584,0.8900760259816949,0.4191919191919191,0.5970149253731343,0.4202081647043941,230.0,0.2766666666666666,0.8645833333333334,83.0,217.0,912.0,13.0,scale-free,n100p50,gglasso,37.0,,100.0,50.0,8.824431965127587,,,synthetic,,,,,,,,,,,,,,,
0.8247090559046459,0.9637307932938656,0.7537174721189591,0.7646813827571846,0.7388570544551137,530.0,0.8664529914529915,0.6669407894736842,811.0,125.0,11379.0,405.0,scale-free,n500p160,piglasso_oracle_n02,26.0,0.0,500.0,160.0,1194.4127319490071,,,synthetic,,,,,,,,,,,,,,,
0.745868173225964,0.9421089218143152,0.7361769352290678,0.759098786828423,0.7070951845385326,167.0,0.6913946587537092,0.7871621621621622,233.0,104.0,2603.0,63.0,scale-free,n237p78,piglasso_corr,23.0,,237.0,78.0,27.033475171774622,,,synthetic,,,,,,,,,,,,,,,
0.4554825914419547,0.7874147159181971,0.25,0.542755913051805,0.3168599778070025,4464.0,0.775,0.1490384615384615,744.0,216.0,48420.0,4248.0,scale-free,n1026p328,piglasso_adaptive,45.0,,1026.0,328.0,321.225783160422,,,synthetic,,,,,,,,,,,,,,,
